StateAndCounty,State,StateAbbr,County,Population,HousingUnits,AreaInSqMiTotal,AreaInSqMiWater,AreaInSqMiLand,PopPerSqMiLand,HousingUnitsPerSqMiOfLand,LandWatchURL
CO-Summit_County,Colorado,CO,Summit_County,27994,29842,619.28,10.92,608.36,46,49.1,https://www.landwatch.com/Colorado_land_for_sale/Summit_County/Land
CO-Sedgwick_County,Colorado,CO,Sedgwick_County,2379,1415,549.4,1.36,548.04,4.3,2.6,https://www.landwatch.com/Colorado_land_for_sale/Sedgwick_County/Land
CO-San_Miguel_County,Colorado,CO,San_Miguel_County,7359,6638,1288.62,2.01,1286.61,5.7,5.2,https://www.landwatch.com/Colorado_land_for_sale/San_Miguel_County/Land
CO-San_Juan_County,Colorado,CO,San_Juan_County,699,756,388.27,0.79,387.49,1.8,2,https://www.landwatch.com/Colorado_land_for_sale/San_Juan_County/Land
CO-Saguache_County,Colorado,CO,Saguache_County,6108,3843,3170.24,1.72,3168.52,1.9,1.2,https://www.landwatch.com/Colorado_land_for_sale/Saguache_County/Land
CO-Routt_County,Colorado,CO,Routt_County,23509,16303,2368.14,6.11,2362.03,10,6.9,https://www.landwatch.com/Colorado_land_for_sale/Routt_County/Land
CO-Rio_Grande_County,Colorado,CO,Rio_Grande_County,11982,6630,912.34,0.38,911.96,13.1,7.3,https://www.landwatch.com/Colorado_land_for_sale/Rio_Grande_County/Land
CO-Rio_Blanco_County,Colorado,CO,Rio_Blanco_County,6666,3309,3222.81,1.88,3220.93,2.1,1,https://www.landwatch.com/Colorado_land_for_sale/Rio_Blanco_County/Land
CO-Pueblo_County,Colorado,CO,Pueblo_County,159063,69526,2397.8,11.69,2386.1,66.7,29.1,https://www.landwatch.com/Colorado_land_for_sale/Pueblo_County/Land
CO-Prowers_County,Colorado,CO,Prowers_County,12551,5942,1644.32,5.93,1638.39,7.7,3.6,https://www.landwatch.com/Colorado_land_for_sale/Prowers_County/Land
CO-Pitkin_County,Colorado,CO,Pitkin_County,17148,12953,973.2,2.5,970.7,17.7,13.3,https://www.landwatch.com/Colorado_land_for_sale/Pitkin_County/Land
CO-Phillips_County,Colorado,CO,Phillips_County,4442,2087,688.04,0.12,687.93,6.5,3,https://www.landwatch.com/Colorado_land_for_sale/Phillips_County/Land
CO-Park_County,Colorado,CO,Park_County,16206,13947,2210.65,16.81,2193.85,7.4,6.4,https://www.landwatch.com/Colorado_land_for_sale/Park_County/Land
